DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Semana epidem. 1º Sintomas(s)
UF de residência: Paraná
Período:2024
"Município de residência";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Total"
"410010 ABATIA";14;26;13;70;51;21;25;50;30;20;320
"410020 ADRIANOPOLIS";-;-;-;-;-;-;-;3;-;2;5
"410040 ALMIRANTE TAMANDARE";1;-;1;3;5;12;12;18;19;8;79
"410045 ALTAMIRA DO PARANA";3;2;-;3;-;-;2;1;2;2;15
"410050 ALTONIA";2;-;1;1;3;2;6;7;9;5;36
"410060 ALTO PARANA";8;4;8;10;4;10;15;22;20;15;116
"410070 ALTO PIQUIRI";79;62;93;121;88;105;87;56;8;6;705
"410080 ALVORADA DO SUL";-;-;-;-;-;1;4;2;-;23;30
"410090 AMAPORA";2;-;2;2;9;2;11;17;20;1;66
"410100 AMPERE";5;17;27;60;81;130;235;277;78;1;911
"410105 ANAHY";-;-;1;1;-;3;5;6;8;7;31
"410110 ANDIRA";-;-;-;1;4;7;23;19;16;1;71
"410115 ANGULO";-;-;-;1;3;-;3;1;6;3;17
"410120 ANTONINA";124;190;256;259;125;246;258;239;142;5;1844
"410130 ANTONIO OLINTO";-;-;1;-;-;3;-;1;-;-;5
"410140 APUCARANA";924;1112;1273;1614;1215;1174;1154;1084;932;388;10870
"410150 ARAPONGAS";29;36;76;98;88;156;192;121;42;13;851
"410160 ARAPOTI";-;-;-;2;2;-;5;23;16;17;65
"410165 ARAPUA";3;-;6;7;7;13;31;48;112;68;295
"410170 ARARUNA";29;57;104;96;96;93;168;203;290;107;1243
"410180 ARAUCARIA";2;4;3;5;4;9;20;27;51;30;155
"410185 ARIRANHA DO IVAI";1;2;6;3;9;6;13;11;4;-;55
"410190 ASSAI";1;3;5;7;5;4;19;10;44;43;141
"410200 ASSIS CHATEAUBRIAND";1;1;2;4;11;12;35;108;170;126;470
"410210 ASTORGA";1;-;3;5;8;9;14;18;27;21;106
"410220 ATALAIA";16;19;23;25;20;17;40;16;10;5;191
"410230 BALSA NOVA";-;-;-;-;-;-;-;2;2;-;4
"410240 BANDEIRANTES";18;18;32;44;34;68;87;91;88;40;520
"410250 BARBOSA FERRAZ";9;7;30;11;1;-;1;3;1;-;63
"410260 BARRACAO";5;1;-;7;15;12;14;14;14;8;90
"410270 BARRA DO JACARE";-;-;-;-;-;3;2;4;10;6;25
"410275 BELA VISTA DA CAROBA";1;-;4;3;7;6;18;31;15;8;93
"410280 BELA VISTA DO PARAISO";2;1;7;5;3;3;24;21;60;48;174
"410290 BITURUNA";-;-;-;1;-;-;-;2;1;-;4
"410300 BOA ESPERANCA";-;1;1;1;6;13;10;34;35;37;138
"410302 BOA ESPERANCA DO IGUACU";-;-;-;-;-;4;5;8;12;6;35
"410304 BOA VENTURA DE SAO ROQUE";-;-;-;-;-;-;-;1;3;1;5
"410305 BOA VISTA DA APARECIDA";5;15;29;45;65;111;148;247;192;11;868
"410310 BOCAIUVA DO SUL";-;-;2;5;1;-;3;5;-;-;16
"410320 BOM SUCESSO";3;1;3;7;4;13;14;19;16;6;86
"410322 BOM SUCESSO DO SUL";-;-;-;-;-;-;-;-;3;2;5
"410330 BORRAZOPOLIS";146;187;167;195;176;107;46;53;47;27;1151
"410335 BRAGANEY";-;-;1;-;1;1;3;5;5;5;21
"410337 BRASILANDIA DO SUL";-;1;3;1;3;7;15;70;77;42;219
"410340 CAFEARA";-;-;2;3;1;3;2;1;10;5;27
"410345 CAFELANDIA";4;11;10;17;10;41;48;82;85;62;370
"410347 CAFEZAL DO SUL";-;2;2;5;6;3;10;13;12;-;53
"410350 CALIFORNIA";6;16;18;39;30;25;91;91;42;14;372
"410360 CAMBARA";2;3;3;3;9;11;29;31;71;44;206
"410370 CAMBE";207;243;349;426;506;706;927;1163;1438;1081;7046
"410380 CAMBIRA";36;54;76;95;70;89;93;98;93;74;778
"410390 CAMPINA DA LAGOA";1;-;3;1;4;2;14;18;10;2;55
"410395 CAMPINA DO SIMAO";-;-;3;-;-;1;2;1;2;-;9
"410400 CAMPINA GRANDE DO SUL";-;1;2;1;5;4;7;9;13;5;47
"410405 CAMPO BONITO";-;-;1;-;1;2;4;1;4;4;17
"410410 CAMPO DO TENENTE";-;-;-;-;-;-;-;-;-;2;2
"410420 CAMPO LARGO";8;3;3;4;14;13;25;39;34;7;150
"410425 CAMPO MAGRO";-;-;1;1;5;2;3;13;12;14;51
"410430 CAMPO MOURAO";51;84;158;144;228;363;306;102;32;4;1472
"410440 CANDIDO DE ABREU";2;8;7;6;14;29;31;26;59;46;228
"410442 CANDOI";-;-;-;-;-;1;1;1;2;6;11
"410445 CANTAGALO";-;-;1;1;-;2;3;-;3;9;19
"410450 CAPANEMA";14;7;16;17;17;16;30;29;30;8;184
"410460 CAPITAO LEONIDAS MARQUES";36;68;54;87;74;38;31;26;-;-;414
"410465 CARAMBEI";-;-;-;-;-;-;1;2;3;-;6
"410470 CARLOPOLIS";-;-;-;-;-;1;3;3;9;12;28
"410480 CASCAVEL";94;127;271;384;479;866;1280;1978;1504;88;7071
"410490 CASTRO";2;2;1;1;3;2;7;5;14;9;46
"410500 CATANDUVAS";-;1;-;5;6;6;13;7;11;-;49
"410510 CENTENARIO DO SUL";1;-;1;1;2;2;-;5;12;5;29
"410520 CERRO AZUL";-;-;-;-;-;1;1;-;1;-;3
"410530 CEU AZUL";1;2;-;3;-;12;33;20;26;18;115
"410540 CHOPINZINHO";-;2;-;2;8;20;36;96;55;25;244
"410550 CIANORTE";30;56;100;123;89;91;104;43;26;1;663
"410560 CIDADE GAUCHA";4;11;5;13;6;12;8;11;28;21;119
"410570 CLEVELANDIA";-;-;-;-;-;1;2;1;4;11;19
"410580 COLOMBO";9;4;1;12;13;12;29;53;62;6;201
"410590 COLORADO";-;-;-;-;1;2;8;29;55;26;121
"410600 CONGONHINHAS";-;-;1;-;1;6;8;13;24;26;79
"410610 CONSELHEIRO MAIRINCK";-;-;-;-;-;-;1;3;3;5;12
"410620 CONTENDA";-;-;-;-;-;-;2;1;1;1;5
"410630 CORBELIA";-;1;14;12;26;35;128;189;122;13;540
"410640 CORNELIO PROCOPIO";49;43;101;112;126;165;214;169;88;23;1090
"410645 CORONEL DOMINGOS SOARES";-;-;-;-;-;-;1;-;-;-;1
"410650 CORONEL VIVIDA";-;-;-;1;5;3;2;10;8;1;30
"410655 CORUMBATAI DO SUL";2;1;2;3;5;4;3;9;7;3;39
"410657 CRUZEIRO DO IGUACU";-;1;-;-;2;2;24;21;13;23;86
"410660 CRUZEIRO DO OESTE";6;4;9;33;57;64;127;186;243;142;871
"410670 CRUZEIRO DO SUL";1;1;-;1;4;1;3;1;2;2;16
"410680 CRUZ MACHADO";-;-;-;-;1;1;-;-;-;-;2
"410685 CRUZMALTINA";7;6;9;24;17;24;45;57;49;13;251
"410690 CURITIBA";87;94;90;129;191;271;565;683;534;115;2759
"410700 CURIUVA";-;1;-;-;-;-;2;12;18;22;55
"410710 DIAMANTE DO NORTE";-;-;-;4;3;9;8;5;9;3;41
"410712 DIAMANTE DO SUL";-;-;-;-;-;-;1;1;1;-;3
"410715 DIAMANTE D'OESTE";-;-;1;-;-;-;7;7;14;21;50
"410720 DOIS VIZINHOS";18;49;79;116;166;172;325;721;611;466;2723
"410725 DOURADINA";-;1;1;4;2;2;6;13;6;6;41
"410730 DOUTOR CAMARGO";-;-;1;2;4;10;8;24;20;22;91
"410740 ENEAS MARQUES";-;1;5;3;2;6;15;18;14;7;71
"410750 ENGENHEIRO BELTRAO";5;6;7;17;9;28;16;1;1;-;90
"410752 ESPERANCA NOVA";-;-;-;3;2;1;-;-;-;1;7
"410753 ENTRE RIOS DO OESTE";1;6;1;5;19;9;7;8;-;1;57
